game_id,date,home_team,away_team,league,home_Possession_value,away_Possession_value,home_Passing Accuracy_value,home_Passing Accuracy_attempts,away_Passing Accuracy_value,away_Passing Accuracy_attempts,home_Shots on Target_value,home_Shots on Target_attempts,away_Shots on Target_value,away_Shots on Target_attempts,home_Saves_value,home_Saves_attempts,away_Saves_value,away_Saves_attempts,home_goals,away_goals,home_xg,away_xg,home_Fouls,away_Fouls,home_Corners,away_Corners,home_Crosses,away_Crosses,home_Touches,away_Touches,home_Tackles,away_Tackles,home_Interceptions,away_Interceptions,home_Aerials Won,away_Aerials Won,home_Clearances,away_Clearances,home_Offsides,away_Offsides,home_Goal Kicks,away_Goal Kicks,home_Throw Ins,away_Throw Ins,home_Long Balls,away_Long Balls
Red-Bull-Bragantino-Corinthians-April-20-2024-Serie-A,2024-04-20,Red Bull Bragantino,Corinthians,Campeonato Brasileiro Série A,35%,65%,175,305,428,557,3,10,4,15,4,4,2,3,1,0,0.5,1.2,21,10,3,4,9,28,413,671,16,13,4,13,23,20,27,14,0,4,11,6,19,26,82,78
Gremio-Cuiaba-April-20-2024-Serie-A,2024-04-20,Grêmio,Cuiabá,Campeonato Brasileiro Série A,57%,43%,500,583,346,442,4,7,3,14,3,3,3,4,1,0,0.6,1.3,10,5,3,4,13,19,708,541,15,19,9,6,15,9,22,12,0,0,8,4,23,20,61,69
Vitoria-Bahia-April-21-2024-Serie-A,2024-04-21,Vitória,Bahia,Campeonato Brasileiro Série A,42%,58%,328,415,479,563,8,13,7,20,5,7,6,8,2,2,1.6,2.5,12,13,2,7,13,21,514,656,19,12,8,5,8,20,28,15,6,2,4,4,15,15,59,61
Palmeiras-Flamengo-April-21-2024-Serie-A,2024-04-21,Palmeiras,Flamengo,Campeonato Brasileiro Série A,50%,50%,288,393,302,400,1,12,3,8,3,3,1,1,0,0,0.4,0.2,23,14,6,5,20,15,487,497,14,18,9,5,17,15,11,18,3,0,5,11,26,14,91,67
Athletico-Paranaense-Internacional-April-21-2024-Serie-A,2024-04-21,Athletico Paranaense,Internacional,Campeonato Brasileiro Série A,46%,54%,293,388,371,458,3,13,3,20,3,3,2,3,1,0,0.8,1.6,16,15,5,3,17,14,488,566,12,18,10,8,22,12,15,18,0,1,12,10,18,15,74,68
Atletico-Goianiense-Sao-Paulo-April-21-2024-Serie-A,2024-04-21,Atlético Goianiense,São Paulo,Campeonato Brasileiro Série A,35%,65%,268,354,570,656,1,9,6,18,4,6,1,1,0,3,0.2,1.7,13,9,4,3,19,16,443,747,6,12,5,8,11,24,23,19,0,2,7,6,16,10,68,69
Botafogo-RJ-Juventude-April-21-2024-Serie-A,2024-04-21,Botafogo (RJ),Juventude,Campeonato Brasileiro Série A,55%,45%,463,524,362,430,5,12,1,12,0,1,1,5,5,1,2.9,0.3,22,10,5,4,17,17,625,524,19,19,6,6,11,6,20,13,1,1,3,6,15,24,56,54
Atletico-Mineiro-Cruzeiro-April-20-2024-Serie-A,2024-04-20,Atlético Mineiro,Cruzeiro,Campeonato Brasileiro Série A,56%,44%,519,602,397,481,4,9,2,10,2,2,1,4,3,0,1.1,0.8,15,17,4,4,19,19,694,575,18,14,14,7,15,12,18,18,1,2,2,1,16,20,84,49
Vasco-da-Gama-Criciuma-April-27-2024-Serie-A,2024-04-27,Vasco da Gama,Criciúma,Campeonato Brasileiro Série A,58%,42%,477,553,343,403,4,20,10,17,6,10,4,4,0,4,1.9,1.4,13,7,5,4,25,9,645,530,16,10,8,5,9,16,8,34,0,2,4,13,18,14,60,52
Cuiaba-Atletico-Mineiro-April-27-2024-Serie-A,2024-04-27,Cuiabá,Atlético Mineiro,Campeonato Brasileiro Série A,34%,66%,252,317,558,624,1,4,4,11,2,4,1,1,0,3,0.2,2.1,11,17,3,10,10,25,404,703,14,9,10,8,9,9,17,12,2,1,4,3,15,10,55,71
